Date,Open
11/10/2022,1176.30
11/09/2022,1304.63
11/08/2022,1467.39
11/07/2022,1587.13
11/06/2022,1619.90
11/05/2022,1647.75
11/04/2022,1549.35
11/03/2022,1547.23
11/02/2022,1591.01
11/01/2022,1587.16
10/31/2022,1583.14
10/30/2022,1621.30
10/29/2022,1589.67
10/28/2022,1507.78
10/27/2022,1554.30
10/26/2022,1487.13
10/25/2022,1347.37
10/24/2022,1348.09
10/23/2022,1313.23
10/22/2022,1298.83
10/21/2022,1287.40
10/20/2022,1280.43
10/19/2022,1305.27
10/18/2022,1333.25
10/17/2022,1301.83
10/16/2022,1283.31
10/15/2022,1300.74
10/14/2022,1329.51
10/13/2022,1286.47
10/12/2022,1283.54
10/11/2022,1278.36
10/10/2022,1323.11
10/09/2022,1310.87
10/08/2022,1333.87
10/07/2022,1356.48
10/06/2022,1372.73
10/05/2022,1356.25
10/04/2022,1321.61
10/03/2022,1291.90
10/02/2022,1309.57
10/01/2022,1330.57
09/30/2022,1327.56
09/29/2022,1341.68
09/28/2022,1287.20
09/27/2022,1385.77
09/26/2022,1304.16
09/25/2022,1328.92
09/24/2022,1321.58
09/23/2022,1339.15
09/22/2022,1262.97
09/21/2022,1337.89
09/20/2022,1355.12
09/19/2022,1295.19
09/18/2022,1451.40
09/17/2022,1439.70
09/16/2022,1473.66
09/15/2022,1605.32
09/14/2022,1601.66
09/13/2022,1715.24
09/12/2022,1726.96
09/11/2022,1761.33
09/10/2022,1734.39
09/09/2022,1672.60
09/08/2022,1629.01
09/07/2022,1510.29
09/06/2022,1639.68
09/05/2022,1575.48
09/04/2022,1551.93
09/03/2022,1561.48
09/02/2022,1596.70
09/01/2022,1549.23
08/31/2022,1606.85
08/30/2022,1543.88
08/29/2022,1456.23
08/28/2022,1492.06
08/27/2022,1501.35
08/26/2022,1687.81
08/25/2022,1623.12
08/24/2022,1613.95
08/23/2022,1608.52
08/22/2022,1596.10
08/21/2022,1632.95
08/20/2022,1627.91
08/19/2022,1818.97
08/18/2022,1852.17
08/17/2022,1893.70
08/16/2022,1890.73
08/15/2022,2001.19
08/14/2022,1987.79
08/13/2022,1978.59
08/12/2022,1903.46
08/11/2022,1879.14
08/10/2022,1669.14
08/09/2022,1778.59
08/08/2022,1710.17
08/07/2022,1683.93
08/06/2022,1739.43
08/05/2022,1659.86
08/04/2022,1649.28
08/03/2022,1617.60
08/02/2022,1577.38
08/01/2022,1690.67
07/31/2022,1693.48
07/30/2022,1706.63
07/29/2022,1727.76
07/28/2022,1648.82
07/27/2022,1424.75
07/26/2022,1432.66
07/25/2022,1509.74
07/24/2022,1551.83
07/23/2022,1571.32
07/22/2022,1561.55
07/21/2022,1487.18
07/20/2022,1562.20
07/19/2022,1517.54
07/18/2022,1408.40
07/17/2022,1353.83
07/16/2022,1222.69
07/15/2022,1199.97
